dates;spread
2023-03;124.9
2023-02;122.68
2023-01;117.91
2022-12;114.91
2022-11;125.07
2022-10;123.77
2022-09;118.09
2022-08;123.98
2022-07;129.81
2022-06;123.09
2022-05;121.2
2022-04;118.48
2022-03;120.27
2022-02;117.35
2022-01;122.88
2021-12;117.29
2021-11;114.71
2021-10;120.45
2021-09;118.84
2021-08;114.1
2021-07;103.62
2021-06;104.23
2021-05;101.93
2021-04;113.21
2021-03;99.36
2021-02;95.74
2021-01;109.5
2020-12;98.81
2020-11;104.33
2020-10;98.26
2020-09;102.26
2020-08;84.95
2020-07;126.46
2020-06;99.9
2020-05;72.7
2020-04;73.27
2020-03;91.1
2020-02;116.04
2020-01;111.32
2019-12;111.61
2019-11;110.42
2019-10;108.43
2019-09;110.24
2019-08;113.46
2019-07;109.41
2019-06;110.69
2019-05;106.08
2019-04;95.4
2019-03;105.24
2019-02;104.6
2019-01;105.56
2018-12;106.46
2018-11;108.24
2018-10;107.46
2018-09;111.47
2018-08;111.98
2018-07;112.6
2018-06;105.86
2018-05;112.28
2018-04;106.5
2018-03;108.23
2018-02;98.81
2018-01;101.3
2017-12;107.84
2017-11;98.39
2017-10;102.19
2017-09;100.59
2017-08;103.35
2017-07;102.53
2017-06;102.01
2017-05;101.39
2017-04;104.79
2017-03;100.27
2017-02;101.15
2017-01;100.01
2016-12;101.19
2016-11;100.14
2016-10;103.96
2016-09;100.98
2016-08;99.9
2016-07;94.93
2016-06;100.95
2016-05;97.24
2016-04;94.73
2016-03;97.86
2016-02;99.66
2016-01;102.75
2015-12;100.98
2015-11;100.29
2015-10;93.58
2015-09;94.91
2015-08;94.75
2015-07;106.04
2015-06;101.09
2015-05;105.74
2015-04;103.6
2015-03;99.13
2015-02;100.89
2015-01;99.01
2014-12;100.91
2014-11;108.86
2014-10;99.54
2014-09;97.64
2014-08;88.49
2014-07;93.11
2014-06;97.49
2014-05;91.75
2014-04;102.67
2014-03;96.93
2014-02;98.4
2014-01;93.36
2013-12;92.65
2013-11;91.33
2013-10;97.66
2013-09;100.24
2013-08;101.9
2013-07;70.38
2013-06;95.36
2013-05;87.15
2013-04;100.35
2013-03;99.65
2013-02;98.46
2013-01;107.24
2012-12;103.33
2012-11;99.73
2012-10;103.37
2012-09;95.31
2012-08;98.93
2012-07;106.73
2012-06;96.91
2012-05;101.75
2012-04;99.88
2012-03;102.14
2012-02;100.18
2012-01;95.67
2011-12;99.58
2011-11;100.0
2011-10;100.97
2011-09;102.07
2011-08;102.6
2011-07;86.61
2011-06;99.87
2011-05;94.88
2011-04;87.4
2011-03;97.52
2011-02;98.05
2011-01;100.16
2010-12;98.82
2010-11;103.57
2010-10;95.55
2010-09;99.9
2010-08;90.66
2010-07;95.59
2010-06;99.84
2010-05;99.1
2010-04;92.88
2010-03;92.84
2010-02;86.52
2010-01;87.78
2009-12;83.02
2009-11;93.48
2009-10;93.99
2009-09;85.89
2009-08;84.8
2009-07;96.95
2009-06;104.98
2009-05;98.95
2009-04;88.17
2009-03;90.57
2009-02;95.35
2009-01;89.68
2008-12;97.84
2008-11;94.68
2008-10;105.76
2008-09;107.47
2008-08;103.53
2008-07;98.25
2008-06;97.57
2008-05;101.24
2008-04;108.01
2008-03;104.67
2008-02;108.74
2008-01;106.13
2007-12;102.62
2007-11;102.15
2007-10;109.91
2007-09;99.9
2007-08;103.75
2007-07;95.88
2007-06;102.82
2007-05;103.69
2007-04;107.18
2007-03;106.39
2007-02;104.88
2007-01;104.56
2006-12;99.67
2006-11;100.43
2006-10;100.98
2006-09;101.07
2006-08;101.51
2006-07;104.02
2006-06;99.52
2006-05;101.41
2006-04;99.39
2006-03;101.08
2006-02;97.84
2006-01;98.5
2005-12;100.1
2005-11;99.02
2005-10;98.97
2005-09;102.25
2005-08;100.81
2005-07;100.18
2005-06;101.2
2005-05;98.62
2005-04;98.89
2005-03;99.2
2005-02;99.16
2005-01;99.37
